candidate_id,korean_name,domain,source,query,url,checked_at,dns_observation,rdap_or_registration_observation,https_observation,status,confidence,limitation
R2-024,로아든,roadeun.kr,Public DNS + KRNIC human check,roadeun.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
R2-024,로아든,roadeun.co.kr,Public DNS + KRNIC human check,roadeun.co.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
R2-027,누아림,nuarim.com,Public DNS + Verisign RDAP + HTTPS,nuarim.com,https://rdap.verisign.com/com/v1/domain/nuarim.com,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,RDAP_404_NO_RECORD_RETURNED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_APPEARS_AVAILABLE_UNCONFIRMED,HIGH,not purchase availability or clean history
R2-027,누아림,nuarim.kr,Public DNS + KRNIC human check,nuarim.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
R2-027,누아림,nuarim.co.kr,Public DNS + KRNIC human check,nuarim.co.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
R2-040,유로담,yurodam.com,Public DNS + Verisign RDAP + HTTPS,yurodam.com,https://rdap.verisign.com/com/v1/domain/yurodam.com,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,RDAP_404_NO_RECORD_RETURNED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_APPEARS_AVAILABLE_UNCONFIRMED,HIGH,not purchase availability or clean history
R2-040,유로담,yurodam.kr,Public DNS + KRNIC human check,yurodam.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
R2-040,유로담,yurodam.co.kr,Public DNS + KRNIC human check,yurodam.co.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
R2-012,레노움,renoum.com,Public DNS + Verisign RDAP + HTTPS,renoum.com,https://rdap.verisign.com/com/v1/domain/renoum.com,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,RDAP_200_RECORD_RETURNED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_ACTIVE_OR_RESERVED_REJECTED,HIGH,record owner/use not inferred
R2-012,레노움,renoum.kr,Public DNS + KRNIC human check,renoum.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
R2-012,레노움,renoum.co.kr,Public DNS + KRNIC human check,renoum.co.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
R2-017,네아론,nearon.com,Public DNS + Verisign RDAP + HTTPS,nearon.com,https://rdap.verisign.com/com/v1/domain/nearon.com,2026-08-24 KST,A_RECORD_PRESENT,RDAP_200_RECORD_RETURNED,HTTP_200,DOMAIN_ACTIVE_OR_RESERVED_REJECTED,HIGH,record owner/use not inferred
R2-017,네아론,nearon.kr,Public DNS + KRNIC human check,nearon.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
R2-017,네아론,nearon.co.kr,Public DNS + KRNIC human check,nearon.co.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
R2-019,다루온,daruon.com,Public DNS + Verisign RDAP + HTTPS,daruon.com,https://rdap.verisign.com/com/v1/domain/daruon.com,2026-08-24 KST,A_RECORD_PRESENT,RDAP_200_RECORD_RETURNED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_ACTIVE_OR_RESERVED_REJECTED,HIGH,record owner/use not inferred
R2-019,다루온,daruon.kr,Public DNS + KRNIC human check,daruon.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
R2-019,다루온,daruon.co.kr,Public DNS + KRNIC human check,daruon.co.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
R2-022,노루안,noruan.com,Public DNS + Verisign RDAP + HTTPS,noruan.com,https://rdap.verisign.com/com/v1/domain/noruan.com,2026-08-24 KST,A_RECORD_PRESENT,RDAP_200_RECORD_RETURNED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_ACTIVE_OR_RESERVED_REJECTED,HIGH,record owner/use not inferred
R2-022,노루안,noruan.kr,Public DNS + KRNIC human check,noruan.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
R2-022,노루안,noruan.co.kr,Public DNS + KRNIC human check,noruan.co.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
R2-031,이라움,iraum.com,Public DNS + Verisign RDAP + HTTPS,iraum.com,https://rdap.verisign.com/com/v1/domain/iraum.com,2026-08-24 KST,A_RECORD_PRESENT,RDAP_200_RECORD_RETURNED,HTTP_200,DOMAIN_ACTIVE_OR_RESERVED_REJECTED,HIGH,record owner/use not inferred
R2-031,이라움,iraum.kr,Public DNS + KRNIC human check,iraum.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
R2-031,이라움,iraum.co.kr,Public DNS + KRNIC human check,iraum.co.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
R2-041,누아든,nuadeun.com,Public DNS + Verisign RDAP + HTTPS,nuadeun.com,https://rdap.verisign.com/com/v1/domain/nuadeun.com,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,RDAP_404_NO_RECORD_RETURNED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_APPEARS_AVAILABLE_UNCONFIRMED,HIGH,web commercial product use rejects it
R2-041,누아든,nuadeun.kr,Public DNS + KRNIC human check,nuadeun.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
R2-041,누아든,nuadeun.co.kr,Public DNS + KRNIC human check,nuadeun.co.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
R2-006,세루온,seruon.com,Public DNS + Verisign RDAP + HTTPS,seruon.com,https://rdap.verisign.com/com/v1/domain/seruon.com,2026-08-24 KST,A_RECORD_PRESENT,RDAP_200_RECORD_RETURNED,HTTP_200,DOMAIN_ACTIVE_OR_RESERVED_REJECTED,HIGH,record owner/use not inferred
R2-006,세루온,seruon.kr,Public DNS + KRNIC human check,seruon.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
R2-006,세루온,seruon.co.kr,Public DNS + KRNIC human check,seruon.co.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
R2-005,루아든,luadeun.com,Public DNS + Verisign RDAP + HTTPS,luadeun.com,https://rdap.verisign.com/com/v1/domain/luadeun.com,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,RDAP_404_NO_RECORD_RETURNED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_APPEARS_AVAILABLE_UNCONFIRMED,HIGH,web commercial product use rejects it
R2-005,루아든,luadeun.kr,Public DNS + KRNIC human check,luadeun.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
R2-005,루아든,luadeun.co.kr,Public DNS + KRNIC human check,luadeun.co.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
R2-004,노이담,noidam.com,Public DNS + Verisign RDAP + HTTPS,noidam.com,https://rdap.verisign.com/com/v1/domain/noidam.com,2026-08-24 KST,A_RECORD_PRESENT,RDAP_200_RECORD_RETURNED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_ACTIVE_OR_RESERVED_REJECTED,HIGH,media identity/domain relationship not confirmed
R2-004,노이담,noidam.kr,Public DNS + KRNIC human check,noidam.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
R2-004,노이담,noidam.co.kr,Public DNS + KRNIC human check,noidam.co.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
