candidate_id,korean_name,memorability,pronunciation,easy_spelling,warmth,adult_credibility,child_comprehension,health_editorial_fit,expandability,verbal_recommendation,visual_brandability,domain_compatibility,distinctiveness,genericness,provider_confusion,government_confusion,care_confusion,counseling_confusion,pharma_feel,childishness,negative_homophone,romanization_ambiguity,typo_probability,ai_brand_feel,stage_decision
R2-043,도이담,3,5,5,3,3,4,3,3,3,3,5,3,2,0,0,0,0,1,2,0,0,1,2,SCREEN_OUT
R2-044,나루온,3,5,5,3,3,4,3,3,3,3,5,3,2,0,0,0,0,0,2,0,0,1,2,SCREEN_OUT
R2-045,르아움,2,4,1,3,3,3,2,3,3,3,2,4,1,0,0,0,0,0,2,0,5,3,3,SCREEN_OUT
R2-046,라니온,3,5,5,3,3,3,2,3,3,4,5,3,1,0,0,0,0,0,2,0,0,1,3,SCREEN_OUT
R2-047,오라담,3,5,5,3,3,3,2,3,3,4,5,3,1,0,0,0,0,1,2,0,0,1,3,SCREEN_OUT
R2-048,루노아,3,5,5,3,3,3,2,3,3,4,5,3,1,0,0,0,0,0,2,0,0,1,3,SCREEN_OUT
R2-049,다리온,3,5,5,3,3,3,2,3,3,4,5,3,1,0,0,0,0,0,2,0,0,1,3,SCREEN_OUT
R2-050,마이든,3,5,5,3,3,3,2,3,3,4,5,3,1,0,0,0,0,0,2,0,0,1,3,SCREEN_OUT
R2-051,맑은결,4,5,4,4,5,5,4,4,4,4,3,3,3,2,0,1,0,0,0,0,1,1,0,RETAIN_60
R2-052,한줄빛,4,5,5,4,4,5,4,4,4,4,4,3,2,0,0,0,0,0,1,0,0,1,0,RETAIN_60
R2-053,여는말,4,5,4,4,4,5,4,4,4,4,4,3,2,0,0,0,0,0,1,0,1,1,0,RETAIN_60
R2-054,첫물음,4,5,4,4,4,5,4,4,4,4,4,3,2,0,0,0,1,0,1,0,1,1,0,RETAIN_60
R2-055,다음결,4,5,4,4,4,5,4,4,4,4,4,3,2,0,0,0,0,0,1,0,1,1,0,RETAIN_60
R2-056,새이음,4,5,3,4,4,5,4,4,4,4,3,3,2,0,0,0,0,0,1,0,3,2,0,RETAIN_60
R2-057,고른말,4,5,4,4,4,5,4,4,4,4,4,3,3,0,0,0,0,0,1,0,1,1,0,RETAIN_60
R2-058,한칸빛,4,5,5,4,4,5,4,4,4,4,4,3,2,0,0,0,0,0,1,0,0,1,0,RETAIN_60
R2-059,차례빛,4,5,4,4,4,5,4,4,4,4,4,3,2,0,0,0,0,0,1,0,1,1,0,RETAIN_60
R2-060,물음결,4,5,3,4,4,5,4,4,4,4,3,3,2,0,0,0,1,0,1,0,3,2,0,RETAIN_60
R2-061,이음자리,4,5,2,4,4,5,4,4,4,4,2,3,2,0,0,1,0,0,1,0,4,2,0,RETAIN_60
R2-062,알찬결,4,5,3,4,4,5,4,4,4,4,3,3,3,0,0,0,0,0,1,0,2,2,0,RETAIN_60
R2-063,여백말,4,5,3,4,4,5,4,4,4,4,3,3,2,0,0,0,0,0,1,0,3,2,0,RETAIN_60
R2-064,맑은줄,4,5,4,4,4,5,4,4,4,4,4,3,3,1,0,0,0,0,1,0,1,1,0,RETAIN_60
R2-065,오늘이음,4,5,2,4,4,5,4,4,4,4,2,3,2,0,1,1,0,0,1,0,4,2,0,RETAIN_60
R2-066,바른물음,4,5,2,4,4,5,4,4,4,4,2,3,3,0,0,0,1,0,1,0,4,2,0,RETAIN_60
R2-067,다정결,3,5,3,5,4,5,3,4,4,4,3,3,3,0,0,1,0,0,1,0,2,2,0,RETAIN_60
R2-068,한눈빛,3,5,4,4,3,5,3,3,4,3,4,2,3,0,0,0,0,0,2,0,1,1,0,RETAIN_60
R2-069,이어봄,3,5,2,4,3,5,3,3,4,3,2,2,3,0,0,0,0,0,2,0,4,2,0,RETAIN_60
R2-070,새결말,3,4,2,4,3,4,3,3,3,3,2,2,3,0,0,0,0,0,2,0,4,2,1,RETAIN_60
R2-071,한결말,3,4,2,4,3,4,3,3,3,3,2,2,3,0,0,0,0,0,2,0,4,2,1,SCREEN_OUT
R2-072,다음자리,3,5,3,4,3,5,3,3,3,3,3,2,3,0,0,1,0,0,2,0,3,2,0,SCREEN_OUT
R2-073,푸른줄,3,5,4,4,3,5,2,3,3,3,4,2,3,0,0,0,0,0,2,0,1,1,0,SCREEN_OUT
R2-074,맑은자리,3,5,3,4,3,5,3,3,3,3,3,2,3,1,0,1,0,0,2,0,2,2,0,SCREEN_OUT
R2-075,첫이음,3,5,2,4,3,5,3,3,3,3,2,2,3,0,0,0,0,0,2,0,4,2,0,SCREEN_OUT
R2-076,여는결,3,5,2,4,3,4,3,3,3,3,2,2,3,0,0,0,0,0,2,0,4,2,0,SCREEN_OUT
R2-077,고른빛,3,5,3,4,3,5,3,3,3,3,3,2,3,0,0,0,0,0,2,0,2,2,0,SCREEN_OUT
R2-078,한줄결,3,5,3,4,3,5,3,3,3,3,3,2,3,0,0,0,0,0,2,0,2,2,0,SCREEN_OUT
R2-079,다정말,3,5,3,5,3,5,3,3,3,3,3,2,3,0,0,1,0,0,2,0,2,2,0,SCREEN_OUT
R2-080,새로운말,2,5,2,3,3,5,2,3,3,2,1,1,4,0,0,0,0,0,2,0,5,3,0,SCREEN_OUT
R2-081,아람결,3,5,3,4,3,4,3,3,3,3,3,2,3,0,0,1,0,0,2,0,2,2,0,SCREEN_OUT
R2-082,다봄결,3,5,3,4,3,4,3,3,3,3,3,2,3,0,0,1,0,0,2,0,2,2,0,SCREEN_OUT
R2-083,새움말,3,4,2,3,3,4,3,3,3,3,2,2,3,0,0,0,0,0,2,0,4,2,1,SCREEN_OUT
R2-084,온이음,3,5,2,4,3,4,3,3,3,3,2,2,3,0,0,0,0,0,2,0,4,2,0,SCREEN_OUT
R2-085,늘이음,3,5,2,4,3,4,3,3,3,3,2,2,3,0,0,0,0,0,2,0,4,2,0,SCREEN_OUT
R2-086,마주결,3,5,3,4,3,4,3,3,3,3,3,2,3,0,0,0,0,0,2,0,2,2,0,SCREEN_OUT
R2-087,한울말,3,5,3,4,3,4,3,3,3,3,3,2,3,0,0,1,0,0,2,0,2,2,0,SCREEN_OUT
R2-088,아우름,3,5,3,4,3,4,3,3,3,3,3,2,3,0,0,0,0,0,2,0,2,2,0,SCREEN_OUT
R2-089,오롯결,3,5,3,3,3,4,3,3,3,3,3,2,3,0,0,0,0,0,2,0,2,2,0,SCREEN_OUT
R2-090,서로빛,3,5,4,4,3,5,3,3,3,3,4,2,3,0,0,1,0,0,2,0,1,1,0,SCREEN_OUT
R2-091,두루결,3,5,3,4,3,4,3,3,3,3,3,2,3,0,0,0,0,0,2,0,2,2,0,SCREEN_OUT
R2-092,새로움,2,5,3,4,3,5,2,3,3,2,3,1,4,0,0,0,0,0,2,0,2,2,0,SCREEN_OUT
R2-093,이룸말,3,5,3,4,3,4,3,3,3,3,3,2,3,0,0,0,0,0,2,0,2,2,0,SCREEN_OUT
R2-094,다온결,3,5,3,4,3,4,3,3,3,3,3,2,3,0,0,0,0,0,2,0,2,2,0,SCREEN_OUT
R2-095,가온빛,3,5,3,4,3,4,3,3,3,3,3,2,3,0,0,1,0,0,2,0,2,2,0,SCREEN_OUT
R2-096,온새말,3,4,2,4,3,4,3,3,3,3,2,2,3,0,0,0,0,0,2,0,4,2,1,SCREEN_OUT
R2-097,이음봄,3,5,2,4,3,4,3,3,3,3,2,2,3,0,0,0,0,0,2,0,4,2,0,SCREEN_OUT
R2-098,누리결,3,5,3,4,3,4,3,3,3,3,3,2,3,0,1,2,0,0,2,0,2,2,0,SCREEN_OUT
R2-099,하늬말,3,4,2,4,3,4,3,3,3,3,2,2,3,0,0,0,0,0,2,0,4,2,1,SCREEN_OUT
R2-100,라온결,3,5,3,4,3,4,3,3,3,3,3,2,3,0,0,0,0,0,2,0,2,2,0,SCREEN_OUT
R2-101,노하움,4,5,5,3,4,3,3,4,4,4,5,4,1,0,0,0,0,0,1,0,0,1,3,SCREEN_OUT
R2-102,세리온,3,5,5,3,3,3,2,3,3,4,5,4,0,0,0,0,0,1,1,0,0,1,3,SCREEN_OUT
R2-103,루모엔,3,5,4,3,3,3,2,3,3,4,4,4,0,0,0,0,0,0,1,0,1,1,3,SCREEN_OUT
R2-104,도이온,3,5,5,3,3,3,2,3,3,4,5,4,0,0,0,0,0,0,1,0,0,1,3,SCREEN_OUT
R2-105,마루온,3,5,5,3,3,3,2,3,3,4,5,4,0,0,0,0,0,0,1,0,0,1,3,SCREEN_OUT
R2-106,리오담,3,5,5,3,3,3,2,3,3,4,5,4,0,0,0,0,0,1,1,0,0,1,3,SCREEN_OUT
R2-107,아로움,3,5,4,3,3,3,2,3,3,4,4,4,0,0,0,0,0,0,1,0,1,1,3,SCREEN_OUT
R2-108,누아온,3,5,5,3,3,3,2,3,3,4,5,4,0,0,0,0,0,0,1,0,0,1,3,SCREEN_OUT
R2-109,도나움,3,5,5,3,3,3,2,3,3,4,5,4,0,0,0,0,0,0,1,0,0,1,3,SCREEN_OUT
R2-110,라무온,3,5,5,3,3,3,2,3,3,4,5,4,0,0,0,0,0,0,1,0,0,1,3,SCREEN_OUT
R2-111,오비담,3,5,5,3,3,3,2,3,3,4,5,4,0,0,0,0,0,1,1,0,0,1,3,SCREEN_OUT
R2-112,미도온,3,5,5,3,3,3,2,3,3,4,5,4,0,0,0,0,0,0,1,0,0,1,3,SCREEN_OUT
R2-113,로유담,3,5,5,3,3,3,2,3,3,4,5,4,0,0,0,0,0,1,1,0,0,1,3,SCREEN_OUT
R2-114,아미온,3,5,5,3,3,3,2,3,3,4,5,4,0,0,0,0,0,1,1,0,0,1,3,SCREEN_OUT
R2-115,바노아,3,5,5,3,3,3,2,3,3,4,5,4,0,0,0,0,0,0,1,0,0,1,3,SCREEN_OUT
R2-116,루다온,3,5,5,3,3,3,2,3,3,4,5,4,0,0,0,0,0,0,1,0,0,1,3,SCREEN_OUT
R2-117,모리안,3,5,5,3,3,3,2,3,3,4,5,4,0,0,0,0,0,0,1,0,0,1,3,SCREEN_OUT
R2-118,아도움,3,5,4,3,3,3,2,3,3,4,4,4,0,0,0,0,0,0,1,0,1,1,3,SCREEN_OUT
R2-119,리노온,3,5,5,3,3,3,2,3,3,4,5,4,0,0,0,0,0,0,1,0,0,1,3,SCREEN_OUT
R2-120,노아담,3,5,5,3,3,3,2,3,3,4,5,4,0,0,0,0,0,1,1,0,0,1,3,SCREEN_OUT
