claim_id,article,section,claim,claim_type,primary_source,secondary_source,source_date,source_checked_by,medical_review_required,medical_review_status,last_verified,wording_risk,publication_status
STR-002,stroke,응급 신호,얼굴 한쪽 처짐·한쪽 팔이나 다리 힘 빠짐·말하기 또는 이해의 갑작스러운 변화는 즉시 119 도움을 요청할 신호다,EMERGENCY_SIGN,KR-017,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
STR-003,stroke,응급 신호,증상이 시작된 시각 또는 마지막 정상 시각을 기록하고 증상이 좋아져도 평가를 미루지 않는다,CAREGIVER_ACTION,KR-017,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
STR-004,stroke,자가 판단 한계,독자는 증상만으로 뇌경색과 뇌출혈을 구분할 수 없다,SELF_CARE_LIMIT,KR-017,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,MEDIUM,PUBLICATION_BLOCKED
STR-005,stroke,증상,갑작스러운 시야 변화·균형 상실·매우 심한 두통도 뇌졸중 가능성을 포함한 응급 평가가 필요할 수 있다,SYMPTOM,KR-017,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
STR-006,stroke,가족 행동,의심 시 직접 운전시키지 않고 음식·물·약을 임의로 주지 않으며 119 요청을 우선한다,CAREGIVER_ACTION,KR-017,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
STR-007,stroke,검사,의료진은 신경학적 상태와 뇌 영상검사 등을 통해 혈관 막힘과 출혈 가능성을 확인한다,TEST,KR-017,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
STR-008,stroke,치료 개요,치료는 뇌졸중 종류·증상 시작 시간·건강 상태에 따라 달라진다,TREATMENT_OVERVIEW,KR-017,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
STR-009,stroke,회복 관리,급성 치료 뒤 재활·재발 위험 요인·처방약 관리가 이어질 수 있다,TREATMENT_OVERVIEW,KR-017,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
STR-010,stroke,위험 요인,고혈압·당뇨병·이상지질혈증·흡연 등은 의료진과 함께 살필 재발 위험 요인이다,RISK_FACTOR,KR-017,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
STR-011,stroke,약물 경계,뇌졸중 관련 약을 독자가 임의로 시작하거나 중단하면 안 된다,SELF_CARE_LIMIT,KR-017,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
MI-001,myocardial-infarction,정의,심근경색은 심장 근육에 피를 공급하는 관상동맥이 막혀 손상이 생기는 응급질환이다,DEFINITION,KR-018,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
MI-002,myocardial-infarction,응급 신호,심한 가슴 통증이나 압박감과 호흡곤란·식은땀·메스꺼움·실신 느낌이 있으면 119 도움을 요청해야 한다,EMERGENCY_SIGN,KR-018,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
MI-003,myocardial-infarction,응급 행동,심근경색 의심 시 직접 운전하거나 원인을 자가 구분하며 기다리면 안 된다,CAREGIVER_ACTION,KR-018,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
MI-004,myocardial-infarction,정의,관상동맥은 심장 근육에 산소가 든 피를 공급한다,DEFINITION,KR-018,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,MEDIUM,PUBLICATION_BLOCKED
MI-005,myocardial-infarction,증상,가슴 불편감이 팔·어깨·등·목·턱으로 퍼지거나 호흡곤란·식은땀·메스꺼움·어지럼이 동반될 수 있다,SYMPTOM,KR-018,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
MI-006,myocardial-infarction,증상 다양성,고령자·여성·당뇨병 환자 등에서는 전형적인 흉통이 뚜렷하지 않을 수 있다,SYMPTOM,KR-018,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
MI-007,myocardial-infarction,가족 행동,의심 시 119를 우선하고 음식·약·민간요법을 임의로 주지 않으며 병력 준비로 신고를 늦추지 않는다,CAREGIVER_ACTION,KR-018,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
MI-008,myocardial-infarction,응급처치,의식과 호흡이 없으면 119 지시에 따라 응급처치를 시작한다,EMERGENCY_SIGN,KR-018,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
MI-009,myocardial-infarction,검사,의료진은 증상·진찰·심전도·혈액검사 등을 통해 심장 손상 가능성을 확인한다,TEST,KR-018,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
MI-010,myocardial-infarction,회복 관리,급성 치료 뒤 처방약·심장 재활·금연과 심혈관 위험 요인 관리가 이어질 수 있다,TREATMENT_OVERVIEW,KR-018,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
MI-011,myocardial-infarction,약물 경계,증상이 좋아져도 처방약이나 활동 수준을 독자가 임의로 변경하면 안 된다,SELF_CARE_LIMIT,KR-018,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
