candidate_id,korean_name,disqualification_or_screenout_reason,evidence_type,source,query,checked_at,status,confidence,limitation
BR-045,살핌표,체크리스트 단일 기능으로 확장성 부족,internal linguistic screen,internal,brand quality screen,2026-08-23 KST,SCREENED_OUT,LOW,검색 미완료
BR-047,건강준비,보험·검진 준비 서비스로 오인될 수 있음,internal linguistic screen,internal,brand mission safety review,2026-08-23 KST,SCREENED_OUT,MEDIUM,검색 미완료
BR-048,몸준비,운동·시술 준비 의미로 흐를 수 있음,internal linguistic screen,internal,brand mission safety review,2026-08-23 KST,SCREENED_OUT,MEDIUM,검색 미완료
BR-049,알아두기,건강 브랜드 정체성 부족,internal linguistic screen,internal,brand quality screen,2026-08-23 KST,SCREENED_OUT,LOW,검색 미완료
BR-050,건강차림,복장·건강식품 의미 혼동,internal linguistic screen,internal,read-aloud desk review,2026-08-23 KST,SCREENED_OUT,LOW,검색 미완료
BR-052,몸알이,뜻과 발음이 불명확함,internal linguistic screen,internal,read-aloud desk review,2026-08-23 KST,SCREENED_OUT,MEDIUM,사람 반응 미검증
BR-053,알아몸,성인 건강교육 브랜드로서 어순과 신뢰가 약함,internal linguistic screen,internal,read-aloud desk review,2026-08-23 KST,SCREENED_OUT,MEDIUM,사람 반응 미검증
BR-054,보담건강,건강 정보 의미가 약함,internal linguistic screen,internal,brand quality screen,2026-08-23 KST,SCREENED_OUT,LOW,검색 미완료
BR-055,모아살핌,정보 수집 서비스로 오인될 수 있음,internal linguistic screen,internal,brand mission safety review,2026-08-23 KST,SCREENED_OUT,MEDIUM,검색 미완료
BR-056,온몸말,증상 해석·진단 약속처럼 읽힐 수 있음,internal linguistic screen,internal,brand mission safety review,2026-08-23 KST,SCREENED_OUT,MEDIUM,검색 미완료
BR-057,몸담,의미가 불명확함,internal linguistic screen,internal,read-aloud desk review,2026-08-23 KST,SCREENED_OUT,LOW,사람 반응 미검증
BR-058,살핌결,뜻·철자 불명확함,internal linguistic screen,internal,read-aloud desk review,2026-08-23 KST,SCREENED_OUT,MEDIUM,사람 반응 미검증
BR-059,곁봄,계절·관찰 서비스로 오인될 수 있음,internal linguistic screen,internal,brand quality screen,2026-08-23 KST,SCREENED_OUT,LOW,검색 미완료
BR-060,몸봄,검진·관찰 서비스로 오인될 수 있음,internal linguistic screen,internal,brand mission safety review,2026-08-23 KST,SCREENED_OUT,MEDIUM,검색 미완료
