"route","page_type","current_gsc_status","decision","indexable","sitemap","basis"
"/health/tools/blood-pressure-log","tool","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/tools/blood-pressure-prep","tool","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/tools/blood-pressure-questions","tool","INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/tools/blood-pressure-warning","tool","INDEXED","KEEP_PUBLIC_NOINDEX","false","false","공개 유틸리티/정책 유지, 검색 결과 독립 가치 제한"
"/health/tools/depression-visit-card","tool","INDEXED","KEEP_PUBLIC_NOINDEX","false","false","공개 유틸리티/정책 유지, 검색 결과 독립 가치 제한"
"/health/tools/diabetes-questions","tool","INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/tools/diabetes-test-terms","tool","DISCOVERED_NOT_INDEXED","KEEP_PUBLIC_NOINDEX","false","false","공개 유틸리티/정책 유지, 검색 결과 독립 가치 제한"
"/health/tools/dyslipidemia-visit-card","tool","CRAWLED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/tools/family-support-checklist","tool","INDEXED","KEEP_PUBLIC_NOINDEX","false","false","공개 유틸리티/정책 유지, 검색 결과 독립 가치 제한"
"/health/tools/gerd-appointment-prep","tool","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/tools/gerd-everyday-patterns","tool","DISCOVERED_NOT_INDEXED","KEEP_PUBLIC_NOINDEX","false","false","공개 유틸리티/정책 유지, 검색 결과 독립 가치 제한"
"/health/tools/gerd-symptom-timing-log","tool","INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/tools/glucose-observation-log","tool","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/tools/gout-visit-card","tool","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/tools/irritable-bowel-syndrome-visit-card","tool","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/tools/kidney-stones-visit-card","tool","INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/tools/metabolic-dysfunction-associated-steatotic-liver-disease-visit-card","tool","CRAWLED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/tools/migraine-visit-card","tool","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/tools/oa-daily-activity-log","tool","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/tools/oa-family-support","tool","DISCOVERED_NOT_INDEXED","KEEP_PUBLIC_NOINDEX","false","false","공개 유틸리티/정책 유지, 검색 결과 독립 가치 제한"
"/health/tools/oa-visit-questions","tool","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/tools/obesity-visit-card","tool","DISCOVERED_NOT_INDEXED","KEEP_PUBLIC_NOINDEX","false","false","공개 유틸리티/정책 유지, 검색 결과 독립 가치 제한"
"/health/tools/osteoporosis-appointment-prep","tool","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/tools/osteoporosis-home-check","tool","INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/tools/osteoporosis-terms","tool","DISCOVERED_NOT_INDEXED","KEEP_PUBLIC_NOINDEX","false","false","공개 유틸리티/정책 유지, 검색 결과 독립 가치 제한"
"/health/tools/sleep-apnea-visit-card","tool","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/tools/stroke-visit-card","tool","DISCOVERED_NOT_INDEXED","KEEP_PUBLIC_NOINDEX","false","false","공개 유틸리티/정책 유지, 검색 결과 독립 가치 제한"
"/health/tools/urinary-tract-infection-visit-card","tool","INDEXED","KEEP_PUBLIC_NOINDEX","false","false","공개 유틸리티/정책 유지, 검색 결과 독립 가치 제한"
"/health/trust/about","trust","INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/trust/advertising","trust","INDEXED","KEEP_PUBLIC_NOINDEX","false","false","공개 유틸리티/정책 유지, 검색 결과 독립 가치 제한"
"/health/trust/ai-disclosure","trust","INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/trust/author","trust","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/trust/contact","trust","DISCOVERED_NOT_INDEXED","KEEP_PUBLIC_NOINDEX","false","false","공개 유틸리티/정책 유지, 검색 결과 독립 가치 제한"
"/health/trust/corrections-policy","trust","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/trust/disclaimer","trust","DISCOVERED_NOT_INDEXED","KEEP_PUBLIC_NOINDEX","false","false","공개 유틸리티/정책 유지, 검색 결과 독립 가치 제한"
"/health/trust/editorial-policy","trust","INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/trust/medical-review-policy","trust","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/trust/privacy","trust","INDEXED","KEEP_PUBLIC_NOINDEX","false","false","공개 유틸리티/정책 유지, 검색 결과 독립 가치 제한"
"/health/trust/sources-policy","trust","INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/trust/terms","trust","DISCOVERED_NOT_INDEXED","KEEP_PUBLIC_NOINDEX","false","false","공개 유틸리티/정책 유지, 검색 결과 독립 가치 제한"
"/health/type-2-diabetes","disease","CRAWLED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/urinary-tract-infection","disease","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
