"from","to","anchor","context"
"/health","/health/trust/corrections-policy","정정·문의","navigation"
"/health","/health/trust/ai-disclosure","AI 활용 공개","navigation"
"/health","/health/trust/advertising","광고 정책","navigation"
"/health","/health/trust/disclaimer","면책 안내","navigation"
"/health","/health/trust/privacy","개인정보","navigation"
"/health","/health/trust/terms","이용약관","navigation"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","본문으로 건너뛰기","content"
"/health/acute-myocardial-infarction","/","OONURIM오누림","navigation"
"/health/acute-myocardial-infarction","/health","질환 알아보기","navigation"
"/health/acute-myocardial-infarction","/health/guides/danger-signals","몸이 보내는 신호","navigation"
"/health/acute-myocardial-infarction","/health/guides/reading-health-results","검사·건강수치","navigation"
"/health/acute-myocardial-infarction","/health/guides/family-medication-support","가족 건강","navigation"
"/health/acute-myocardial-infarction","/health","건강 도구","navigation"
"/health/acute-myocardial-infarction","/health/trust/about","오누림 소개","navigation"
"/health/acute-myocardial-infarction","/health/trust/author","박영훈 · 비의료인 건강정보 편집자","navigation"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","응급 신호와 119 안내 바로 보기","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","SRC-KDCA-CARDIO-2026","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","SRC-NHLBI-HEART-ATTACK","content"
"/health/acute-myocardial-infarction","/health/guides/danger-signals","다른 급한 몸의 변화와 119 도움 안내","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","질병관리청","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","NIH/NHLBI","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","NHS","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","NIH/NHLBI","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","CDC","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","NHS","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","질병관리청 국가건강정보포털","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","NIH/NHLBI","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","CDC","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","NHS","content"
"/health/acute-myocardial-infarction","/health/tools/acute-myocardial-infarction-visit-card","신고 후 전달 내용과 치료 뒤 질문을 확인할 심근경색 카드","content"
"/health/acute-myocardial-infarction","/health/guides/medication-list","평소에 준비할 약·알레르기 목록","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","질병관리청","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","NIH/NHLBI","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","NIH/NHLBI","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","NHS","content"
"/health/acute-myocardial-infarction","/health/guides/reading-health-results","검사 이름·단위·결과의 한계를 읽는 방법","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","NIH/NHLBI","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","NIH/NLM MedlinePlus","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","질병관리청 국가건강정보포털","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","NHS","content"
"/health/acute-myocardial-infarction","/health/guides/appointment-questions","퇴원·다음 진료에서 확인할 질문","content"
"/health/acute-myocardial-infarction","/health/dyslipidemia","급한 대응과 구분해 이어가는 콜레스테롤 관리","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","질병관리청 국가건강정보포털","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","NIH/NHLBI","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","NHS","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","CDC","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","NIH/NHLBI","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","CDC","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","NHS","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","NIH/NHLBI","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","질병관리청","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","NIH/NHLBI","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","CDC","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","NIH/NHLBI","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","NHS","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","질병관리청","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","NIH/NHLBI","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","NIH/NHLBI","content"
"/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","NIH/NLM MedlinePlus","content"
"/health/acute-myocardial-infarction","/health/trust/sources-policy","출처 선정 기준","content"
"/health/acute-myocardial-infarction","/health/trust/editorial-policy","편집 원칙","content"
"/health/acute-myocardial-infarction","/health/trust/medical-review-policy","의료 검수 현재 상태","content"
"/health/acute-myocardial-infarction","/health","건강 가이드 전체 보기","content"
"/health/acute-myocardial-infarction","/health/tools/acute-myocardial-infarction-visit-card","심근경색 전달 메모119 신고 후 실제 증상·약 정보를 전하고, 급한 평가·치료 뒤 약·활동·재활 질문을 확인하는 보조표입니다.","content"
"/health/acute-myocardial-infarction","/health","20개 질환 안내","navigation"
"/health/acute-myocardial-infarction","/health/guides/danger-signals","위험 신호","navigation"
"/health/acute-myocardial-infarction","/health/guides/appointment-questions","진료 질문 준비","navigation"
"/health/acute-myocardial-infarction","/health","건강 기록 도구","navigation"
"/health/acute-myocardial-infarction","/health/trust/author","작성자","navigation"
"/health/acute-myocardial-infarction","/health/trust/sources-policy","출처 원칙","navigation"
"/health/acute-myocardial-infarction","/health/trust/corrections-policy","정정·문의","navigation"
"/health/acute-myocardial-infarction","/health/trust/ai-disclosure","AI 활용 공개","navigation"
"/health/acute-myocardial-infarction","/health/trust/advertising","광고 정책","navigation"
"/health/acute-myocardial-infarction","/health/trust/disclaimer","면책 안내","navigation"
"/health/acute-myocardial-infarction","/health/trust/privacy","개인정보","navigation"
"/health/acute-myocardial-infarction","/health/trust/terms","이용약관","navigation"
"/health/allergic-rhinitis","/health/allergic-rhinitis","본문으로 건너뛰기","content"
"/health/allergic-rhinitis","/","OONURIM오누림","navigation"
"/health/allergic-rhinitis","/health","질환 알아보기","navigation"
"/health/allergic-rhinitis","/health/guides/danger-signals","몸이 보내는 신호","navigation"
"/health/allergic-rhinitis","/health/guides/reading-health-results","검사·건강수치","navigation"
"/health/allergic-rhinitis","/health/guides/family-medication-support","가족 건강","navigation"
"/health/allergic-rhinitis","/health","건강 도구","navigation"
"/health/allergic-rhinitis","/health/trust/about","오누림 소개","navigation"
"/health/allergic-rhinitis","/health/trust/author","박영훈 · 비의료인 건강정보 편집자","navigation"
"/health/allergic-rhinitis","/health/allergic-rhinitis","응급 신호와 119 안내 바로 보기","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","SRC-SNUH-AR","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","SRC-NHS-AR","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","서울대학교병원","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","NHS","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","서울대학교병원","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","NHS","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","CDC","content"
"/health/allergic-rhinitis","/health/guides/reading-health-results","결과지의 이상 표시와 재검 질문 정리","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","서울대학교병원","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","NIH/MedlinePlus","content"
"/health/allergic-rhinitis","/health/guides/medication-list","약 이름과 실제 사용법을 목록으로 가져가기","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","NIH/MedlinePlus","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","NHS","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","NIH/MedlinePlus","content"
"/health/allergic-rhinitis","/health/tools/allergy-trigger-observation","코·눈 증상과 장소 관찰표","content"
"/health/allergic-rhinitis","/health/guides/symptom-journal","관찰한 사실과 추측을 나눠 적는 법","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","CDC","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","NHS","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","NIH/MedlinePlus","content"
"/health/allergic-rhinitis","/health/asthma","천식의 호흡 증상과 개인 대처 계획","content"
"/health/allergic-rhinitis","/health/tools/allergy-appointment-questions","검사·스프레이를 묻는 진료 질문 카드","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","NHS","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","CDC","content"
"/health/allergic-rhinitis","/health/guides/danger-signals","위급할 때 먼저 할 행동과 119에 전할 내용","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","질병관리청 국가건강정보포털","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","CDC","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","서울대학교병원","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","NHS","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","서울대학교병원","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","NIH/MedlinePlus","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","NHS","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","NIH/MedlinePlus","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","NIH/MedlinePlus","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","NHS","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","서울대학교병원","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","NIH/MedlinePlus","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","NHS","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","CDC","content"
"/health/allergic-rhinitis","/health/allergic-rhinitis","질병관리청 국가건강정보포털","content"
"/health/allergic-rhinitis","/health/trust/sources-policy","출처 선정 기준","content"
"/health/allergic-rhinitis","/health/trust/editorial-policy","편집 원칙","content"
"/health/allergic-rhinitis","/health/trust/medical-review-policy","의료 검수 현재 상태","content"
"/health/allergic-rhinitis","/health","건강 가이드 전체 보기","content"
"/health/allergic-rhinitis","/health/tools/allergy-trigger-observation","알레르기 비염 관찰표증상·장소·시간을 적되 원인을 판정하지 않는 기록지입니다.","content"
"/health/allergic-rhinitis","/health/tools/allergy-environment-check","환경 변화 관찰 체크환경을 바꾼 뒤의 흐름을 살피고 개인 효과를 단정하지 않습니다.","content"
"/health/allergic-rhinitis","/health/tools/allergy-appointment-questions","알레르기 비염 진료 질문 카드증상 흐름과 검사 필요 여부를 묻기 위한 질문 카드입니다.","content"
"/health/allergic-rhinitis","/health","20개 질환 안내","navigation"
"/health/allergic-rhinitis","/health/guides/danger-signals","위험 신호","navigation"
"/health/allergic-rhinitis","/health/guides/appointment-questions","진료 질문 준비","navigation"
"/health/allergic-rhinitis","/health","건강 기록 도구","navigation"
"/health/allergic-rhinitis","/health/trust/author","작성자","navigation"
"/health/allergic-rhinitis","/health/trust/sources-policy","출처 원칙","navigation"
"/health/allergic-rhinitis","/health/trust/corrections-policy","정정·문의","navigation"
"/health/allergic-rhinitis","/health/trust/ai-disclosure","AI 활용 공개","navigation"
"/health/allergic-rhinitis","/health/trust/advertising","광고 정책","navigation"
"/health/allergic-rhinitis","/health/trust/disclaimer","면책 안내","navigation"
"/health/allergic-rhinitis","/health/trust/privacy","개인정보","navigation"
"/health/allergic-rhinitis","/health/trust/terms","이용약관","navigation"
"/health/anxiety-disorder","/health/anxiety-disorder","본문으로 건너뛰기","content"
"/health/anxiety-disorder","/","OONURIM오누림","navigation"
"/health/anxiety-disorder","/health","질환 알아보기","navigation"
"/health/anxiety-disorder","/health/guides/danger-signals","몸이 보내는 신호","navigation"
"/health/anxiety-disorder","/health/guides/reading-health-results","검사·건강수치","navigation"
"/health/anxiety-disorder","/health/guides/family-medication-support","가족 건강","navigation"
"/health/anxiety-disorder","/health","건강 도구","navigation"
"/health/anxiety-disorder","/health/trust/about","오누림 소개","navigation"
"/health/anxiety-disorder","/health/trust/author","박영훈 · 비의료인 건강정보 편집자","navigation"
"/health/anxiety-disorder","/health/anxiety-disorder","응급 신호와 119 안내 바로 보기","content"
"/health/anxiety-disorder","/health/anxiety-disorder","SRC-NIMH-ANXIETY","content"
"/health/anxiety-disorder","/health/anxiety-disorder","SRC-NIMH-GAD","content"
"/health/anxiety-disorder","/health/guides/danger-signals","기록보다 도움 요청이 먼저인 위험 신호","content"
"/health/anxiety-disorder","/health/acute-myocardial-infarction","불안으로 단정하지 말아야 할 심근경색 의심 증상","content"
"/health/anxiety-disorder","/health/anxiety-disorder","NHS","content"
"/health/anxiety-disorder","/health/anxiety-disorder","NHS","content"
"/health/anxiety-disorder","/health/anxiety-disorder","NIH/NIMH","content"
"/health/anxiety-disorder","/health/anxiety-disorder","보건복지부 보건복지상담센터","content"
"/health/anxiety-disorder","/health/anxiety-disorder","NIH/NIMH","content"
"/health/anxiety-disorder","/health/anxiety-disorder","찾기쉬운 생활법령정보","content"
"/health/anxiety-disorder","/health/anxiety-disorder","서울대학교병원","content"
"/health/anxiety-disorder","/health/anxiety-disorder","NIH/NIMH","content"
"/health/anxiety-disorder","/health/anxiety-disorder","NIH/NIMH","content"
"/health/anxiety-disorder","/health/anxiety-disorder","NIH/NIMH","content"
"/health/anxiety-disorder","/health/anxiety-disorder","NIH/NIMH","content"
"/health/anxiety-disorder","/health/anxiety-disorder","NIH/NIMH","content"
"/health/anxiety-disorder","/health/anxiety-disorder","서울대학교병원","content"
"/health/anxiety-disorder","/health/anxiety-disorder","NHS","content"
"/health/anxiety-disorder","/health/depression","함께 느끼는 우울감과 달라진 일상 이야기","content"
"/health/anxiety-disorder","/health/anxiety-disorder","NIH/NIMH","content"
"/health/anxiety-disorder","/health/anxiety-disorder","NIH/NIMH","content"
"/health/anxiety-disorder","/health/anxiety-disorder","서울대학교병원","content"
"/health/anxiety-disorder","/health/tools/anxiety-disorder-visit-card","경험과 질문을 정리하는 불안장애 진료 카드","content"
"/health/anxiety-disorder","/health/guides/medication-list","복용 방식까지 함께 확인할 약 목록","content"
"/health/anxiety-disorder","/health/anxiety-disorder","NIH/NIMH","content"
"/health/anxiety-disorder","/health/anxiety-disorder","NIH/NIMH","content"
"/health/anxiety-disorder","/health/anxiety-disorder","서울대학교병원","content"
"/health/anxiety-disorder","/health/anxiety-disorder","NIH/NIMH","content"
"/health/anxiety-disorder","/health/guides/appointment-questions","치료의 역할과 다음 연락을 확인할 진료 질문","content"
"/health/anxiety-disorder","/health/anxiety-disorder","NIH/NIMH","content"
"/health/anxiety-disorder","/health/anxiety-disorder","NIH/NIMH","content"
"/health/anxiety-disorder","/health/anxiety-disorder","NIH/NIMH","content"
"/health/anxiety-disorder","/health/anxiety-disorder","NIH/NIMH","content"
"/health/anxiety-disorder","/health/anxiety-disorder","보건복지부 보건복지상담센터","content"
"/health/anxiety-disorder","/health/anxiety-disorder","서울대학교병원","content"
