"id","file","exists","format","width","height","declared_width","declared_height","file_size_bytes","alt_text","caption","article_slug","article_relevance","exact_duplicate_count","nearest_visual_distance","duplicate_risk","loading_strategy","medical_accuracy","privacy","claim_ids","audit_result"
"VIS-HTN-B1-01","public/images/onurim/hypertension/hero.webp","true","webp","1536","1024","1536","1024","150824","집에서 혈압을 잰 뒤 기록표에 숫자와 시간을 적는 성인의 차분한 교육용 삽화","측정을 마친 뒤 원래 값을 적는 장면입니다. 측정하는 동안에는 쓰거나 움직이지 않습니다.","hypertension","ARTICLE_PATH_AND_CLAIM_MAPPED","0","20","LOW","NEXT_IMAGE_PRELOAD_HERO","CLAIM_MAPPING_PRESENT;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","HTN-B1-004|HTN-B1-008","PASS"
"VIS-GERD-B2-03","public/images/onurim/gastroesophageal-reflux-disease/checklist.webp","true","webp","1024","1536","1024","1536","117570","두 성인이 식사 뒤 증상 시간표와 질문 카드를 함께 살피는 교육용 삽화","증상·자세·수면의 흐름을 함께 적어 의료진과 상의할 질문을 준비합니다.","gastroesophageal-reflux-disease","ARTICLE_PATH_AND_CLAIM_MAPPED","0","18","LOW","NEXT_IMAGE_DEFAULT_LAZY_BODY","CLAIM_MAPPING_PRESENT;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","GERD-B2-004|GERD-B2-009|GERD-B2-010","PASS"
"VIS-OA-B2-01","public/images/onurim/osteoarthritis/hero.webp","true","webp","1536","1024","1536","1024","180730","일상 활동 전후의 무릎 불편과 변화를 관찰 노트에 적는 성인의 교육용 삽화","활동 기록은 병명이나 치료를 스스로 결정하는 계산표가 아닙니다.","osteoarthritis","ARTICLE_PATH_AND_CLAIM_MAPPED","0","13","LOW","NEXT_IMAGE_PRELOAD_HERO","CLAIM_MAPPING_PRESENT;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","OA-B2-002|OA-B2-004","PASS"
"VIS-OA-B2-02","public/images/onurim/osteoarthritis/explainer.webp","true","webp","1536","1024","1536","1024","162856","관절의 뼈 끝과 완충 조직을 단순화해 보여 주는 교육용 삽화","관절의 여러 조직을 단순화한 그림이며 개인의 영상 검사나 상태를 보여 주지 않습니다.","osteoarthritis","ARTICLE_PATH_AND_CLAIM_MAPPED","0","14","LOW","NEXT_IMAGE_DEFAULT_LAZY_BODY","CLAIM_MAPPING_PRESENT;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","OA-B2-001|OA-B2-003","PASS"
"VIS-OA-B2-03","public/images/onurim/osteoarthritis/checklist.webp","true","webp","1024","1536","1024","1536","201188","두 성인이 일상 활동 기록과 질문 카드를 차분히 준비하는 교육용 삽화","가족은 통증을 판단하기보다 당사자의 기록과 질문 준비를 도울 수 있습니다.","osteoarthritis","ARTICLE_PATH_AND_CLAIM_MAPPED","0","22","LOW","NEXT_IMAGE_DEFAULT_LAZY_BODY","CLAIM_MAPPING_PRESENT;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","OA-B2-005|OA-B2-009|OA-B2-010","PASS"
"VIS-OP-B2-01","public/images/onurim/osteoporosis/hero.webp","true","webp","1536","1024","1536","1024","185422","성인이 골밀도와 낙상, 복용 약에 관한 진료 질문을 정리하는 교육용 삽화","질문 준비는 검사 결과를 혼자 해석하거나 치료를 정하는 일이 아닙니다.","osteoporosis","ARTICLE_PATH_AND_CLAIM_MAPPED","0","23","LOW","NEXT_IMAGE_PRELOAD_HERO","SOURCE_CONCEPT_CHECKED;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","OP-B2-004|OP-B2-005","PASS"
"VIS-OP-B2-02","public/images/onurim/osteoporosis/explainer.webp","true","webp","1536","1024","1536","1024","122994","뼈 내부 구조가 달라질 수 있다는 개념을 단순화해 보여 주는 교육용 삽화","두 뼈 단면은 내부 구조 차이의 개념입니다. 개인의 골밀도 결과나 걷기 전후의 치료 효과를 나타내지 않습니다.","osteoporosis","ARTICLE_PATH_AND_CLAIM_MAPPED","0","18","LOW","NEXT_IMAGE_DEFAULT_LAZY_BODY","SOURCE_CONCEPT_CHECKED;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","OP-B2-001|OP-B2-004","PASS"
"VIS-OP-B2-03","public/images/onurim/osteoporosis/checklist-v2.webp","true","webp","1024","1536","1024","1536","143456","뒤꿈치를 감싸는 신발, 비워 둔 통로, 벽 쪽 전선과 야간 조명을 살피고 질문을 준비하는 두 성인의 삽화","집안 점검은 낙상 위험을 줄이기 위한 한 부분이며 골절 예방을 보장하지 않습니다.","osteoporosis","ARTICLE_PATH_AND_CLAIM_MAPPED","0","18","LOW","NEXT_IMAGE_DEFAULT_LAZY_BODY","SOURCE_CONCEPT_CHECKED;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","OP-B2-006|OP-B2-010|OP-B2-012","PASS"
"VIS-DLP-P3-HERO","public/images/onurim/dyslipidemia/hero.webp","true","webp","1536","1024","1536","1024","18556","네 줄의 결과표와 건강 상담을 상징하는 표지가 있는 장식 삽화","표지 삽화의 색과 줄은 실제 검사값이나 정상·이상 판정이 아닙니다.","dyslipidemia","ARTICLE_PATH_AND_CLAIM_MAPPED","0","0","VISUAL_SIMILARITY_REVIEW","NEXT_IMAGE_PRELOAD_HERO","SOURCE_CONCEPT_CHECKED;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","DLP-P3-002|DLP-P3-003","PASS"
"VIS-DLP-P3-CONCEPT","public/images/onurim/dyslipidemia/concept-v2.webp","true","webp","1536","1024","1536","1024","170280","왼쪽 열린 동맥 단면과 오른쪽 혈관 벽 안쪽의 노란 플라크로 통로가 좁아진 단면을 비교한 개념도","오른쪽 노란 부분은 혈관 벽의 플라크를 상징합니다. 두 단면은 구조 차이의 예이며 누구나 거치는 단계나 치료 전후가 아닙니다. 실제 검사 영상·크기·협착률을 나타내지 않습니다.","dyslipidemia","ARTICLE_PATH_AND_CLAIM_MAPPED","0","8","LOW","NEXT_IMAGE_DEFAULT_LAZY_BODY","SOURCE_CONCEPT_CHECKED;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","DLP-P3-001|DLP-P3-003","PASS"
"VIS-DLP-P3-ACTION","public/images/onurim/dyslipidemia/action-v2.webp","true","webp","1536","1024","1536","1024","189530","두 성인이 이전과 이번의 네 항목 결과표를 나란히 놓고 별도 노트에 진료 질문을 적는 삽화","동의를 받고 결과표와 질문을 함께 정리하는 예입니다. 빈 줄과 시계는 실제 검사값·금식 시간이나 치료 판단 기준이 아닙니다.","dyslipidemia","ARTICLE_PATH_AND_CLAIM_MAPPED","0","18","LOW","NEXT_IMAGE_DEFAULT_LAZY_BODY","SOURCE_CONCEPT_CHECKED;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","DLP-P3-003|DLP-P3-004","PASS"
"VIS-OBS-P3-HERO","public/images/onurim/obesity/hero.webp","true","webp","1536","1024","1536","1024","18344","기록 용지와 원형 표지로 건강 상담 준비를 상징하는 장식 삽화","표지의 색과 원은 개인 체형이나 체지방률·진단 결과를 뜻하지 않습니다.","obesity","ARTICLE_PATH_AND_CLAIM_MAPPED","0","1","VISUAL_SIMILARITY_REVIEW","NEXT_IMAGE_PRELOAD_HERO","SOURCE_CONCEPT_CHECKED;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","OBS-P3-002|OBS-P3-003","PASS"
"VIS-OBS-P3-CONCEPT","public/images/onurim/obesity/concept-v2.webp","true","webp","1536","1024","1536","1024","224600","복부 단면에서 근육 벽 바깥의 피하지방과 벽 안 장 사이의 내장·장간막 지방 위치를 구분한 개념도","바깥쪽 노란 층은 피부 아래·근육 벽 밖의 피하지방, 안쪽 장 사이 노란 부분은 내장·장간막 지방을 상징합니다. 위치를 단순화한 그림이며 실제 검사 영상·지방량·정상 기준이 아닙니다. BMI나 허리둘레만으로 이 모양을 알 수는 없습니다.","obesity","ARTICLE_PATH_AND_CLAIM_MAPPED","0","10","LOW","NEXT_IMAGE_DEFAULT_LAZY_BODY","SOURCE_CONCEPT_CHECKED;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","OBS-P3-001|OBS-P3-002","PASS"
"VIS-OBS-P3-ACTION","public/images/onurim/obesity/action-v2.webp","true","webp","1536","1024","1536","1024","242684","가족이 식사 준비를 나누는 장면, 조용한 침실을 지키는 장면, 성인 두 사람이 평평한 길에서 동행하는 장면","동의를 받고 식사 준비·휴식 여건·가능한 동행을 돕는 예입니다. 그림의 음식과 활동은 정해진 식단·운동량이나 감량 효과를 뜻하지 않으며 개인의 상태와 선택에 따라 달라집니다.","obesity","ARTICLE_PATH_AND_CLAIM_MAPPED","0","12","LOW","NEXT_IMAGE_DEFAULT_LAZY_BODY","SOURCE_CONCEPT_CHECKED;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","OBS-P3-003|OBS-P3-004","PASS"
"VIS-MASLD-P3-HERO","public/images/onurim/metabolic-dysfunction-associated-steatotic-liver-disease/hero.webp","true","webp","1536","1024","1536","1024","17442","네 줄의 기록 용지와 상담 준비를 상징하는 보라색 장식 표지 삽화","표지의 색과 줄은 실제 간 검사 결과나 의료 검수 완료 표시가 아닙니다.","metabolic-dysfunction-associated-steatotic-liver-disease","ARTICLE_PATH_AND_CLAIM_MAPPED","0","0","VISUAL_SIMILARITY_REVIEW","NEXT_IMAGE_PRELOAD_HERO","SOURCE_CONCEPT_CHECKED;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","MASLD-P3-002|MASLD-P3-003","PASS"
"VIS-MASLD-P3-CONCEPT","public/images/onurim/metabolic-dysfunction-associated-steatotic-liver-disease/concept-v2.webp","true","webp","1536","1024","1536","1024","137308","왼쪽 간세포 안의 노란 지방 방울, 가운데 부푼 세포와 주변 염증세포, 오른쪽 세포 사이의 푸른 섬유조직을 구분한 개념도","왼쪽은 지방 축적, 가운데는 염증·세포 손상, 오른쪽은 섬유화를 단순화했습니다. 함께 나타날 수 있는 서로 다른 특징이며 누구나 순서대로 겪는 단계가 아닙니다. 실제 조직검사 영상·등급·치료 전후가 아닙니다.","metabolic-dysfunction-associated-steatotic-liver-disease","ARTICLE_PATH_AND_CLAIM_MAPPED","0","7","LOW","NEXT_IMAGE_DEFAULT_LAZY_BODY","SOURCE_CONCEPT_CHECKED;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","MASLD-P3-001|MASLD-P3-003","PASS"
"VIS-MASLD-P3-ACTION","public/images/onurim/metabolic-dysfunction-associated-steatotic-liver-disease/action-v2.webp","true","webp","1536","1024","1536","1024","156014","성인 한 명이 혈액검사 결과지와 초음파 보고서 폴더를 옆에 놓고 별도 노트에 질문을 정리하는 생성 이미지","실제 환자 사진이 아닌 AI 생성 상황 예시입니다. 결과지의 빈칸·표지는 실제 값이나 판독이 아니며, 뒤쪽 약·보충제 포장은 목록을 준비한다는 뜻이지 복용 권장이 아닙니다.","metabolic-dysfunction-associated-steatotic-liver-disease","ARTICLE_PATH_AND_CLAIM_MAPPED","0","21","LOW","NEXT_IMAGE_DEFAULT_LAZY_BODY","SOURCE_CONCEPT_CHECKED;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","MASLD-P3-003|MASLD-P3-004","PASS"
"VIS-IBS-P3-HERO","public/images/onurim/irritable-bowel-syndrome/hero.webp","true","webp","1536","1024","1536","1024","17484","네 줄의 메모 용지와 상담 준비를 상징하는 갈색 장식 표지 삽화","표지의 줄과 십자 모양은 진단 결과나 의료인 검수 완료 표시가 아닙니다.","irritable-bowel-syndrome","ARTICLE_PATH_AND_CLAIM_MAPPED","0","0","VISUAL_SIMILARITY_REVIEW","NEXT_IMAGE_PRELOAD_HERO","SOURCE_CONCEPT_CHECKED;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","IBS-P3-002|IBS-P3-003","PASS"
"VIS-IBS-P3-CONCEPT","public/images/onurim/irritable-bowel-syndrome/concept-v2.webp","true","webp","1536","1024","1536","1024","37554","머리의 뇌와 복부의 장 사이에 위쪽과 아래쪽을 향한 두 화살표가 놓인 장-뇌 상호작용 개념도","화살표는 장과 뇌의 양방향 소통을 단순화한 상징이며 실제 신경의 위치나 음식 이동 경로가 아닙니다. IBS와 관련된 여러 요인 중 일부로, 마음가짐 탓이거나 개인의 원인을 확정한다는 뜻이 아닙니다.","irritable-bowel-syndrome","ARTICLE_PATH_AND_CLAIM_MAPPED","0","12","LOW","NEXT_IMAGE_DEFAULT_LAZY_BODY","SOURCE_CONCEPT_CHECKED;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","IBS-P3-001|IBS-P3-003","PASS"
"VIS-IBS-P3-ACTION","public/images/onurim/irritable-bowel-syndrome/action-v2.webp","true","webp","1536","1024","1536","1024","224820","화장실 문 앞에서 복부의 느낌을 살피는 성인과 책상에서 그 변화를 노트에 적는 같은 인물의 두 장면 삽화","관찰과 기록을 연결한 가상 장면으로 실제 환자나 치료 전후가 아닙니다. 배변 뒤 통증이 덜하거나 더하거나 비슷한 경우 모두 그대로 적습니다. 컵·시계는 특정 음료나 기록 시간을 권하는 뜻이 아닙니다.","irritable-bowel-syndrome","ARTICLE_PATH_AND_CLAIM_MAPPED","0","13","LOW","NEXT_IMAGE_DEFAULT_LAZY_BODY","SOURCE_CONCEPT_CHECKED;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","IBS-P3-004|IBS-P3-005","PASS"
"VIS-AST-P3-HERO","public/images/onurim/asthma/hero.webp","true","webp","1536","1024","1536","1024","19118","네 줄의 메모 용지와 상담 준비를 상징하는 파란색 장식 표지 삽화","표지의 줄과 십자 모양은 폐기능 결과나 의료인 검수 완료 표시가 아닙니다.","asthma","ARTICLE_PATH_AND_CLAIM_MAPPED","0","0","VISUAL_SIMILARITY_REVIEW","NEXT_IMAGE_PRELOAD_HERO","SOURCE_CONCEPT_CHECKED;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","AST-P3-002|AST-P3-003","PASS"
"VIS-AST-P3-CONCEPT","public/images/onurim/asthma/concept-v2.webp","true","webp","1536","1024","1536","1024","129074","넓게 열린 기도 단면과 안쪽 벽의 부종·바깥 근육의 수축·안쪽 점액으로 통로가 좁아진 기도 단면을 나란히 비교한 개념도","왼쪽은 열린 기도, 오른쪽은 벽의 부종과 주변 근육 수축, 안쪽의 옅은 노란 점액을 단순화한 모습입니다. 실제 조직검사나 막힌 비율·치료 전후·필연적 진행 단계가 아닙니다.","asthma","ARTICLE_PATH_AND_CLAIM_MAPPED","0","8","LOW","NEXT_IMAGE_DEFAULT_LAZY_BODY","SOURCE_CONCEPT_CHECKED;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","AST-P3-001|AST-P3-003","PASS"
"VIS-AST-P3-ACTION","public/images/onurim/asthma/action-v2.webp","true","webp","1536","1024","1536","1024","77258","진료를 상징하는 가상 장면에서 두 성인이 계획서의 한 부분을 함께 확인하고 질문을 별도 노트에 적는 생성 이미지","실제 환자·검수자 사진이 아닌 AI 생성 상담 장면입니다. 문서의 줄·도형은 처방 내용이 아니고, 회색 기기는 종류·역할·사용량을 권하는 제품이 아닙니다. 심한 호흡곤란에는 계획서를 찾기보다 119가 먼저입니다.","asthma","ARTICLE_PATH_AND_CLAIM_MAPPED","0","21","LOW","NEXT_IMAGE_DEFAULT_LAZY_BODY","SOURCE_CONCEPT_CHECKED;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","AST-P3-004|AST-P3-005","PASS"
"VIS-OSA-P3-HERO","public/images/onurim/sleep-apnea/hero.webp","true","webp","1536","1024","1536","1024","17178","메모 용지와 상담 준비를 상징하는 초록색 장식 표지 삽화","표지의 선·십자 모양은 수면검사 결과나 의료인 검수 완료 표시가 아닙니다.","sleep-apnea","ARTICLE_PATH_AND_CLAIM_MAPPED","0","0","VISUAL_SIMILARITY_REVIEW","NEXT_IMAGE_PRELOAD_HERO","SOURCE_CONCEPT_CHECKED;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","OSA-P3-002|OSA-P3-003","PASS"
"VIS-OSA-P3-CONCEPT","public/images/onurim/sleep-apnea/concept-v2.webp","true","webp","1536","1024","1536","1024","164602","코와 입 뒤쪽의 열린 인두 공간과 혀·연구개 뒤의 공간이 좁아진 모습을 나란히 보여 주는 상기도 개념도","폐쇄성 수면무호흡의 상기도 좁아짐만 단순화한 비교입니다. 청록색은 빈 공기 공간을 강조한 색이지 실제 조직 색이 아닙니다. 중추성 원인·개인 진단·협착률·진행 단계·치료 전후를 보여 주지 않으며 아래쪽 후두와 기관은 생략했습니다.","sleep-apnea","ARTICLE_PATH_AND_CLAIM_MAPPED","0","13","LOW","NEXT_IMAGE_DEFAULT_LAZY_BODY","SOURCE_CONCEPT_CHECKED;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","OSA-P3-001|OSA-P3-003","PASS"
"VIS-OSA-P3-ACTION","public/images/onurim/sleep-apnea/action-v2.webp","true","webp","1536","1024","1536","1024","172174","가정의 식탁에서 두 가상 성인이 각자의 노트를 두고 밤의 관찰과 낮의 경험을 서로 이야기하는 AI 생성 장면","실제 환자·검수자 사진이 아닌 AI 생성 장면입니다. 동의한 상대와 관찰·질문을 나누는 선택적 예시이며, 노트의 선은 진료 기록이나 검사 수치가 아닙니다. 가족의 감시·녹음·대리 진단을 권하지 않습니다.","sleep-apnea","ARTICLE_PATH_AND_CLAIM_MAPPED","0","19","LOW","NEXT_IMAGE_DEFAULT_LAZY_BODY","SOURCE_CONCEPT_CHECKED;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","OSA-P3-004|OSA-P3-005","PASS"
"VIS-GOUT-P3-HERO","public/images/onurim/gout/hero.webp","true","webp","1536","1024","1536","1024","16556","진료 메모와 상담 준비를 상징하는 자주색 장식 표지 삽화","표지의 선과 십자 모양은 요산 검사 결과나 의료인 검수 완료 표시가 아닙니다.","gout","ARTICLE_PATH_AND_CLAIM_MAPPED","0","2","VISUAL_SIMILARITY_REVIEW","NEXT_IMAGE_PRELOAD_HERO","SOURCE_CONCEPT_CHECKED;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","GOUT-P3-002|GOUT-P3-003","PASS"
"VIS-GOUT-P3-CONCEPT","public/images/onurim/gout/concept-v2.webp","true","webp","1536","1024","1536","1024","96338","관절 공간의 작은 요산염 결정 기호와 별도 원 안의 혈액 검체를 나란히 보여 주는 비교 개념도","왼쪽은 관절 안과 주변의 요산염 결정을 단순화한 개념도, 오른쪽은 혈액 요산검사의 상징입니다. 혈액검사로 관절 결정을 직접 관찰하는 것은 아닙니다. 실제 모양·크기·수치나 개인 진단·필수 진행 단계·치료 전후를 보여 주지 않습니다.","gout","ARTICLE_PATH_AND_CLAIM_MAPPED","0","13","LOW","NEXT_IMAGE_DEFAULT_LAZY_BODY","SOURCE_CONCEPT_CHECKED;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","GOUT-P3-001|GOUT-P3-003","PASS"
