claim_id,article_slug,section,claim_type,primary_source,secondary_source,retrieved_at,clinical_review_required,clinical_review_status,wording_risk,publication_status
AR-B2-012,allergic-rhinitis,limit,SELF_CARE_LIMIT,SRC-MEDLINEPLUS-AR,,2026-08-25,YES,LICENSED_REVIEW_REQUIRED,MEDIUM,PREVIEW_ONLY_PRODUCTION_BLOCKED
GERD-B2-001,gastroesophageal-reflux-disease,definition,DEFINITION,SRC-NIDDK-GERD-DEFINITION,,2026-08-25,NO,NOT_MEDICALLY_REVIEWED,LOW,PREVIEW_ONLY_PRODUCTION_BLOCKED
GERD-B2-002,gastroesophageal-reflux-disease,symptoms,SYMPTOM,SRC-NIDDK-GERD-SYMPTOMS,,2026-08-25,YES,LICENSED_REVIEW_REQUIRED,MEDIUM,PREVIEW_ONLY_PRODUCTION_BLOCKED
GERD-B2-003,gastroesophageal-reflux-disease,diagnosis-limit,SELF_CARE_LIMIT,SRC-NIDDK-GERD-DIAGNOSIS,SRC-NIDDK-GERD-SYMPTOMS,2026-08-25,YES,LICENSED_REVIEW_REQUIRED,HIGH,PREVIEW_ONLY_PRODUCTION_BLOCKED
GERD-B2-004,gastroesophageal-reflux-disease,observation,MEASUREMENT_GUIDANCE,SRC-NIDDK-GERD-DIAGNOSIS,,2026-08-25,NO,NOT_MEDICALLY_REVIEWED,LOW,PREVIEW_ONLY_PRODUCTION_BLOCKED
GERD-B2-005,gastroesophageal-reflux-disease,individual-triggers,SELF_CARE_LIMIT,SRC-NIDDK-GERD-DIET,,2026-08-25,YES,LICENSED_REVIEW_REQUIRED,MEDIUM,PREVIEW_ONLY_PRODUCTION_BLOCKED
GERD-B2-006,gastroesophageal-reflux-disease,medicine-limit,SELF_CARE_LIMIT,SRC-NIDDK-GERD-SYMPTOMS,SRC-NIDDK-GERD-DIAGNOSIS,2026-08-25,YES,LICENSED_REVIEW_REQUIRED,HIGH,PREVIEW_ONLY_PRODUCTION_BLOCKED
GERD-B2-007,gastroesophageal-reflux-disease,professional-help,EMERGENCY_SIGN,SRC-NIDDK-GERD-SYMPTOMS,,2026-08-25,YES,LICENSED_REVIEW_REQUIRED,HIGH,PREVIEW_ONLY_PRODUCTION_BLOCKED
GERD-B2-008,gastroesophageal-reflux-disease,emergency,EMERGENCY_SIGN,SRC-NIDDK-GERD-SYMPTOMS,SRC-KDCA-CPR,2026-08-25,YES,LICENSED_REVIEW_REQUIRED,HIGH,PREVIEW_ONLY_PRODUCTION_BLOCKED
GERD-B2-009,gastroesophageal-reflux-disease,family,CAREGIVER_ACTION,SRC-NIDDK-GERD-DIAGNOSIS,,2026-08-25,NO,NOT_MEDICALLY_REVIEWED,LOW,PREVIEW_ONLY_PRODUCTION_BLOCKED
GERD-B2-010,gastroesophageal-reflux-disease,questions,MEASUREMENT_GUIDANCE,SRC-NIDDK-GERD-DIAGNOSIS,,2026-08-25,NO,NOT_MEDICALLY_REVIEWED,LOW,PREVIEW_ONLY_PRODUCTION_BLOCKED
GERD-B2-011,gastroesophageal-reflux-disease,care-limit,SELF_CARE_LIMIT,SRC-NIDDK-GERD-DIET,SRC-NIDDK-GERD-DIAGNOSIS,2026-08-25,YES,LICENSED_REVIEW_REQUIRED,MEDIUM,PREVIEW_ONLY_PRODUCTION_BLOCKED
GERD-B2-012,gastroesophageal-reflux-disease,management,TREATMENT_OVERVIEW,SRC-NIDDK-GERD-DIAGNOSIS,SRC-NIDDK-GERD-DIET,2026-08-25,YES,LICENSED_REVIEW_REQUIRED,HIGH,PREVIEW_ONLY_PRODUCTION_BLOCKED
OA-B2-001,osteoarthritis,definition,DEFINITION,SRC-NIAMS-OA,SRC-CDC-OA,2026-08-25,NO,NOT_MEDICALLY_REVIEWED,LOW,PREVIEW_ONLY_PRODUCTION_BLOCKED
OA-B2-002,osteoarthritis,symptoms,SYMPTOM,SRC-NIAMS-OA,SRC-CDC-OA,2026-08-25,YES,LICENSED_REVIEW_REQUIRED,MEDIUM,PREVIEW_ONLY_PRODUCTION_BLOCKED
OA-B2-003,osteoarthritis,diagnosis-limit,SELF_CARE_LIMIT,SRC-NIAMS-OA-TREATMENT,SRC-CDC-OA,2026-08-25,YES,LICENSED_REVIEW_REQUIRED,HIGH,PREVIEW_ONLY_PRODUCTION_BLOCKED
OA-B2-004,osteoarthritis,observation,MEASUREMENT_GUIDANCE,SRC-NIAMS-OA,SRC-NIAMS-OA-TREATMENT,2026-08-25,NO,NOT_MEDICALLY_REVIEWED,LOW,PREVIEW_ONLY_PRODUCTION_BLOCKED
OA-B2-005,osteoarthritis,activity,TREATMENT_OVERVIEW,SRC-NIAMS-OA-TREATMENT,SRC-CDC-ARTHRITIS-ACTIVITY,2026-08-25,YES,LICENSED_REVIEW_REQUIRED,HIGH,PREVIEW_ONLY_PRODUCTION_BLOCKED
OA-B2-006,osteoarthritis,medicine-limit,SELF_CARE_LIMIT,SRC-NIAMS-OA-TREATMENT,SRC-CDC-OA,2026-08-25,YES,LICENSED_REVIEW_REQUIRED,HIGH,PREVIEW_ONLY_PRODUCTION_BLOCKED
OA-B2-007,osteoarthritis,professional-help,TREATMENT_OVERVIEW,SRC-NIAMS-OA,SRC-NIAMS-OA-TREATMENT,2026-08-25,YES,LICENSED_REVIEW_REQUIRED,MEDIUM,PREVIEW_ONLY_PRODUCTION_BLOCKED
OA-B2-008,osteoarthritis,emergency,EMERGENCY_SIGN,SRC-KDCA-CPR,,2026-08-25,YES,LICENSED_REVIEW_REQUIRED,HIGH,PREVIEW_ONLY_PRODUCTION_BLOCKED
OA-B2-009,osteoarthritis,family,CAREGIVER_ACTION,SRC-NIAMS-OA-TREATMENT,,2026-08-25,NO,NOT_MEDICALLY_REVIEWED,LOW,PREVIEW_ONLY_PRODUCTION_BLOCKED
OA-B2-010,osteoarthritis,questions,MEASUREMENT_GUIDANCE,SRC-NIAMS-OA-TREATMENT,,2026-08-25,NO,NOT_MEDICALLY_REVIEWED,LOW,PREVIEW_ONLY_PRODUCTION_BLOCKED
OA-B2-011,osteoarthritis,care-limit,SELF_CARE_LIMIT,SRC-NIAMS-OA,SRC-CDC-OA,2026-08-25,YES,LICENSED_REVIEW_REQUIRED,MEDIUM,PREVIEW_ONLY_PRODUCTION_BLOCKED
OA-B2-012,osteoarthritis,variation,DEFINITION,SRC-NIAMS-OA,SRC-CDC-OA,2026-08-25,NO,NOT_MEDICALLY_REVIEWED,LOW,PREVIEW_ONLY_PRODUCTION_BLOCKED
OP-B2-001,osteoporosis,definition,DEFINITION,SRC-NIAMS-OP,SRC-NIAMS-BMD,2026-08-25,NO,NOT_MEDICALLY_REVIEWED,LOW,PREVIEW_ONLY_PRODUCTION_BLOCKED
OP-B2-002,osteoporosis,silent,SYMPTOM,SRC-NIAMS-OP,,2026-08-25,NO,NOT_MEDICALLY_REVIEWED,LOW,PREVIEW_ONLY_PRODUCTION_BLOCKED
OP-B2-003,osteoporosis,risk,RISK_FACTOR,SRC-NIAMS-OP,,2026-08-25,YES,LICENSED_REVIEW_REQUIRED,MEDIUM,PREVIEW_ONLY_PRODUCTION_BLOCKED
OP-B2-004,osteoporosis,diagnosis,TEST,SRC-NIAMS-BMD,SRC-NIAMS-OP-TREATMENT,2026-08-25,YES,LICENSED_REVIEW_REQUIRED,HIGH,PREVIEW_ONLY_PRODUCTION_BLOCKED
OP-B2-005,osteoporosis,record,MEASUREMENT_GUIDANCE,SRC-NIAMS-OP-TREATMENT,SRC-NIAMS-OP,2026-08-25,NO,NOT_MEDICALLY_REVIEWED,LOW,PREVIEW_ONLY_PRODUCTION_BLOCKED
OP-B2-006,osteoporosis,fall-prevention,PREVENTION,SRC-NIAMS-OP-TREATMENT,,2026-08-25,YES,LICENSED_REVIEW_REQUIRED,MEDIUM,PREVIEW_ONLY_PRODUCTION_BLOCKED
OP-B2-007,osteoporosis,medicine-limit,SELF_CARE_LIMIT,SRC-NIAMS-OP-TREATMENT,SRC-NIAMS-BONE-HEALTH,2026-08-25,YES,LICENSED_REVIEW_REQUIRED,HIGH,PREVIEW_ONLY_PRODUCTION_BLOCKED
OP-B2-008,osteoporosis,professional-help,EMERGENCY_SIGN,SRC-NIAMS-OP,,2026-08-25,YES,LICENSED_REVIEW_REQUIRED,HIGH,PREVIEW_ONLY_PRODUCTION_BLOCKED
OP-B2-009,osteoporosis,emergency,EMERGENCY_SIGN,SRC-KDCA-CPR,,2026-08-25,YES,LICENSED_REVIEW_REQUIRED,HIGH,PREVIEW_ONLY_PRODUCTION_BLOCKED
OP-B2-010,osteoporosis,family,CAREGIVER_ACTION,SRC-NIAMS-OP-TREATMENT,,2026-08-25,NO,NOT_MEDICALLY_REVIEWED,LOW,PREVIEW_ONLY_PRODUCTION_BLOCKED
OP-B2-011,osteoporosis,questions,MEASUREMENT_GUIDANCE,SRC-NIAMS-BMD,SRC-NIAMS-OP-TREATMENT,2026-08-25,NO,NOT_MEDICALLY_REVIEWED,LOW,PREVIEW_ONLY_PRODUCTION_BLOCKED
OP-B2-012,osteoporosis,care-limit,SELF_CARE_LIMIT,SRC-NIAMS-BMD,SRC-NIAMS-OP,2026-08-25,YES,LICENSED_REVIEW_REQUIRED,HIGH,PREVIEW_ONLY_PRODUCTION_BLOCKED
